Container ID,Description,Origin
IJKLZ9876543,ON 7 PALLETS CONTAINING BBL GALVANIZADO DE CHROMIUM 10/14 MM X 6000 MM X 3000 MM SIN IMPRESION NET WEIGHT 3249 KG CIF MEXICO.,"Valencia, Spain"
ZYXC4321098,LOADED ON 12 PLT(S) ELASTOMER FOR INDUSTRIAL APPLICATIONS HS-CODE32069010.,"Marseille, France"
QWERTY1234567,"BEVERAGE CONTAINERS, EMPTY IN 20 PALLETS NET WEIGHT 1250 KG CIF LOS ANGELES.","Bremen, Germany"
POIU9876543,15678 KGS 11.111 CUBIC METER 101 CARTON TOYS & GAMES HS CODES 95039000. SHIPPER DECLARES.,Hong Kong
ASDFGH1234567,ON 5 PALLETS CONTAINING BBL ABRASIVOS DE CUARZO 80 G/ M2 X 1000 MM X 2000 MM SIN IMPRESION NET WEIGHT 789 KG CIF LOS ANGELES.,"Barcelona, Spain"
JKMNOP9876543,LOADED ON 25 PLT(S) CONSTRUCTION MATERIALS FOR BUILDINGS HS-CODE39269090.,"Amsterdam, Netherlands"
PQRS6543210,25000 KGS 75.125 CUBIC METER 1200 CARTON FABRIC HS CODES 5205. SHIPPER DECLARES.,"Hong Kong, China"
MNOP9876543,IN 30 PALLETS OF ELECTRONICS AND ELECTRONIC ACCESSORIES CONTAINING VALUABLE GOODS.,Singapore
UVWX4321097,LOADED ON 25 PLT(S) NITROCELESTIAL S1 HS-CODE 73261100.,"Tokyo, Japan"
IJKL1234567,3000 CARTONS OF FURNITURE CONTAINING 10 PCS PER CARTON. CBM 150 CUBIC METER.,"Guangzhou, China"
ZYXC9876543,ON 15 PALLETS CONTAINING 12000 KG BAGS OF COFFEE BEANS HAWAIIAN KONA AA CB 4001000 / 278214356.,"Hong Kong, China"
FGHJ6543210,40 PALLETS CONTAINING CARS PARTS AND ACCESSORIES VALUABLE GOODS HS CODE 8708.,"Seoul, South Korea"
KJHGF9876543,ON 10 PALLETS CONTAINING 50 PCS OF SATEEN FABRIC WIDTH 140CM H.S.CODE 5209. CBM 150 CUBIC METERS.,"Mumbai, India"
MNOP5432100,LOADED ON 20 PLT(S) POLYURETHANE FOAM HS-CODE32141010.,"Dubai, UAE"
PQRS7654321,IN 50 PALLETS CONTAINING 10000 PCS OF CHILDREN TOYS AND GAMES CB 940190 / 278214358.,"Hong Kong, China"
UVWX9876543,ON 20 PALLETS CONTAINING 2000 CARTONS FABRIC HS CODES 5205. NET WEIGHT 25000 KG CIF LOS ANGELES.,"Shenzhen, China"
PQRS1234567,18792 KGS 34.571 CUBIC METER 550 CARTON VACUUM CLEANERS & SPARE PARTS HS CODES 851690. SHIPPER DECLARES.,"Guangzhou, China"
MNOP9876543,IN 30 PALLETS OF ELECTRONIC COMPONENTS CONTAINING HIGH-TENSION WIRE. ,"Shenzhen, China"
TVWX1234567,LOADED ON 25 PLT(S) FABRIC FOR GARMENTS HS-CODE63059020. ,Hong Kong
IJKL4321098,"GRUPO VITALIS, SA. BEEF. NET WT 11364 KG IN 45 BOXES CONTAINING FROZEN MEAT CB 4160410 / 278214357. ","Los Angeles, USA"
STUV6543210,ON 12 PALLETS CONTAINING 10000 KGS BLOWN GLASS BEADS SIN IMPRESION NET WEIGHT 500 KG CIF LOS ANGELES. ,"Shanghai, China"
EFGH9876543,IN 50 PALLETS OF USED AUTOMOTIVE PARTS CONTAINING TIRES AND WHEELS. ,Hong Kong
CDEK1234567,LOADED ON 10 PLT(S) FOOD GRADE POLYETHYLENE FILM HS-CODE39122030. ,"Shenzhen, China"
RSTU4321098,"GRAND CRUISE CO., LTD. FURNITURE. NET WT 18542 KG IN 120 BOXES CONTAINING WOODEN PARTS CB 4160410 / 278214357. ","Guangzhou, China"
BNVZ9876543,ON 8 PALLETS CONTAINING 24000 KGS CEMENT IN BIG BAGS NET WT 3000 KG CIF GUAYAQUIL. ,"Shanghai, China"
MNOPQ0987654,14521 KGS 70.421 CUBIC METER 876 CARTON NAILS & HAMMERS HS CODES 8205. SHIPPER DECLARES.,"Guangzhou, China"
VWXZY1234567,IN 30 PALLETS OF TOYS AND PLUSH STUFFED ANIMALS CONTAINING SMALL PARTS NOT SUITABLE FOR CHILDREN UNDER 36 MONTHS.,"Seoul, South Korea"
QWERTYUIOP7890,LOADED ON 15 PLT(S) VISCOTEX DRY CLEANER HS-CODE62111010.,"Osaka, Japan"
HGFCCDEFGHIJ5678,"GRANOLA BARS, EACH 120G PACKAGED IN BOXES OF 12 CB 4411111 / 23456789.","Tokyo, Japan"
ZYXCVBNM1234567,"ON 6 PALLETS CONTAINING LPG REGULATORS AND TUBES, NET WEIGHT 3789 KG CIF VENTURA.",Singapore
POIUYTREWQ56789,987 KGS 45.123 CUBIC METER 500 CARTON SCISSORS & PENS HS CODES 8201. SHIPPER DECLARES.,Hong Kong
RSTUVWXYZ0987654,IN 25 PALLETS OF ELECTRONIC COMPONENTS AND COMPUTER PARTS CONTAINING ROHS COMPLIANT.,"Taipei, Taiwan"
JKLIPQRSTU7890,LOADED ON 10 PLT(S) KLEENEX TOWELS HS-CODE39211010.,"Shanghai, China"
FGHJKLPLMNO4321,"BEER, EACH 33CL BOTTLES CB 4160410 / 278214357 NET WEIGHT 2709 KG CIF LOS ANGELES.","Hamburg, Germany"
ZXCVBNMLKJH7890,ON 12 PALLETS CONTAINING FIBER OPTIC CABLES AND CONNECTORS NET WEIGHT 4956 KG CIF DALLAS.,"Seoul, South Korea"
PQRS9876543,12345 KGS 55.678 CUBIC METER 321 CARTON PLASTIC WARES HS CODES 392390. SHIPPER DECLARES. ,"Shanghai, China"
VWXZ1112345,IN 30 PALLETS OF FURNITURE CONTAINING PACKAGING MATERIALS. ,"Tokyo, Japan"
FGTR5432197,LOADED ON 15 PLT(S) POLYETHYLENE FLOORING S1 HS-CODE39172010. ,"Seoul, South Korea"
IJKL9876543,GRIMBERGEN AMBREE 5.2% ABV. BEER EACH 24/33CL BOTTLES CB 4160410 / 278214356. ,"Istanbul, Turkey"
MNOP8765432,"ON 7 PALLETS CONTAINING TUBE NBR 10 IV E 133/12 SIN IMPRESION, ANCHO 52 MM TUBE NBR 10 IV E 133/5 ANCHO 94 MM SIN IMPRESION NET WEIGHT 4231 KG CIF MEXICO. ","Bangkok, Thailand"
HGFV4321098,IN 50 PALLETS OF TEXTILES CONTAINING COTTON YARN HS CODES 5205. SHIPPER DECLARES. ,"Mumbai, India"
KLMN5432197,LOADED ON 10 PLT(S) FIBREGLASS SHEETS S1 HS-CODE70139010. ,"Jakarta, Indonesia"
PQRSTUVWXYZ7654,56789 KGS 48.125 CUBIC METER 400 CARTON ELECTRONIC COMPONENTS HS CODES 854231. SHIPPER DECLARES. ,Hong Kong
YZXCV4321098,ON 4 PALLETS CONTAINING PVC SHEET 2MM THK X 2000MM X 1000MM NET WEIGHT 1543 KG CIF HOUSTON. ,"Kuala Lumpur, Malaysia"
BNMV9876543,IN 20 PALLETS OF ELECTRONICS CONTAINING TELECOMMUNICATION DEVICES HS CODES 851712. SHIPPER DECLARES. ,Singapore
ERTYUIOP876543,"25000 KGS 120.111 CUBIC METER 1000 CARTON TEXTILES HS CODES 620411, 620412. SHIPPER DECLARES.","Shanghai, China"
ASDFGHJKL456789,IN 30 PALLETS OF ELECTRONICS AND ELECTRICAL EQUIPMENT CONTAINING FRAGILE ITEMS. ,"Seoul, South Korea"
MNOPQRST1234556,LOADED ON 12 PLT(S) FLEXIBLE PVC PIPE HS-CODE39172010. ,"Busan, South Korea"
QWERTYUIO9876543,GRANOLA BARS WITH CHOCOLATE FLAVOR EACH 200G CB 4211414 / 278214358. ,"Tokyo, Japan"
POIUYTREDFGH123,"ON 15 PALLETS CONTAINING FURNITURE AND DECORATIONS, PACKED IN 500 CARTONS NET WEIGHT 9000 KG CIF MEXICO CITY. ","Osaka, Japan"
KILMNOHGIUYTREW,"14000 KGS 80.909 CUBIC METER 100 CARTON FURNITURE HS CODES 940391, 392410. SHIPPER DECLARES.","Qingdao, China"
JHGFDSCXVBNM123,IN 20 PALLETS OF TOYS AND GAMES CONTAINING DANGEROUS GOODS FOR CHILDREN. ,Hong Kong
ZXCRTYUIOPASDFG,LOADED ON 18 PLT(S) GALVANIZED METAL SHEETS HS-CODE73089010. ,"Guangzhou, China"
VBNM1234567890987,"FRESH PRODUCE (MIXED BERRIES) CONTAINED IN 2400 CARTONS, NET WEIGHT 12000 KG CIF MONTREAL. ","Taipei, Taiwan"
HIJKLMNOPQWERTY123,"ON 10 PALLETS CONTAINING TOOLS AND EQUIPMENT FOR CONSTRUCTION, PACKED IN 300 CARTONS NET WEIGHT 6000 KG CIF LONDON. ","Beijing, China"
UIVB9876543,1789 KGS 70.319 CUBIC METER 421 CARTON TOOLS & EQUIPMENT HS CODES 8207. SHIPPER DECLARES.,"Shenzhen, China"
PQRS1234567,LOADED ON 35 PLT(S) PACKAGED GOODS FOR EXPORT CONTAINING VARIOUS ITEMS OF CLOTHING AND ACCESSORIES.,"Guangzhou, China"
MNOP8765432,1356 KGS 45.623 CUBIC METER 250 CARTON FOOD & BEVERAGES HS CODES 1905. SHIPPER DECLARES.,"Shanghai, China"
WXYZ6543210,IN 30 PALLETS OF TEXTILES AND FABRICS CONTAINING DANGEROUS GOODS. ,Hong Kong
STUV4321098,LOADED ON 15 PLT(S) ELASTOSIL 1000WHITE S2 HS-CODE32141010.,"Shenzhen, China"
FGHT7890123,GRIMBERGEN AMBREE 6.5% ABV. BEER EACH 24/33CL BOTTLES CB 4160410 / 278214357.,"Shanghai, China"
CDEFG9876543,2951 KGS 85.125 CUBIC METER 500 CARTON ELECTRONICS & COMPONENTS HS CODES 8517. SHIPPER DECLARES.,"Guangzhou, China"
TYUIOP5432109,"ON 12 PALLETS CONTAINING BBL ALUTHENE 30-IV E 133/10 SIN IMPRESION, ANCHO 50 MM BBL ALUTHENE 30-IV E 133/8 ANCHO 80 MM SIN IMPRESION NET WEIGHT 3425 KG CIF LOS ANGELES.","Shanghai, China"
KJHGF9876543,IN 50 PALLETS OF COSMETICS AND COSMETIC ACCESSORIES CONTAINING DANGEROUS GOODS.,Hong Kong
VBNM1234567,LOADED ON 20 PLT(S) PACKAGED GOODS FOR EXPORT CONTAINING VARIOUS ITEMS OF FURNITURE AND DECORATIONS HS-CODE9403.,"Shenzhen, China"
MNOPQ9876543,15000 KGS 20.123 CUBIC METER 543 CARTON BOLTS & NUTS HS CODES 731819. SHIPPER DECLARES.,"Shanghai, China"
VWXZY7654321,IN 25 PALLETS OF ELECTRONICS CONTAINING CIRCUIT BOARDS. ,"Seoul, South Korea"
IJHGF1234567,LOADED ON 12 PLT(S) POLYETHYLENE FILMS HS-CODE39249010.,"Busan, South Korea"
KLMNO8765432,GRAND MARNIER ORANGE COGNAC FLAP TOP 70CL BOTTLES CB 2588413 / 275142321.,"Rotterdam, Netherlands"
ZYXC4321098,ON 9 PALLETS CONTAINING RUBBER SEALINGS AND GASKETS HS-CODE401390. NET WEIGHT 7854 KG CIF BEIRUT.,Singapore
OPQRST7654321,IN 15 PALLETS OF AUTOMOBILE PARTS CONTAINING TIRES.,"Tokyo, Japan"
MNOPQ1234567,LOADED ON 20 PLT(S) STEEL RODS HS-CODE72169000.,"Guangzhou, China"
VWXZY9876543,FRESH FRUITS IN 40 PALLETS (ORANGES) HS-CODE0809.25.,"Bangkok, Thailand"
IJHGF4321098,10000 KGS 10.567 CUBIC METER 200 CARTON METAL SHEETS HS CODES 8307. SHIPPER DECLARES.,"Istanbul, Turkey"
KLMNO8765432,ON 12 PALLETS CONTAINING MACHINE PARTS AND SPARES HS-CODE87089010.,"Ho Chi Minh City, Vietnam"
PQRS9876543,15678 KGS 45.321 CUBIC METER 432 CARTON SOFA FABRIC & COVERS HS CODES 940190. SHIPPER DECLARES.,"Shanghai, China"
MNOP1234567,IN 50 PALLETS OF ELECTRONICS AND COMPUTER PARTS CONTAINING FLAMMABLE LIQUIDS.,"Seoul, South Korea"
GHIJ7654321,LOADED ON 25 PLT(S) VINYL COATED FABRIC HS-CODE52082010.,"Guangzhou, China"
KLMN0987654,"GRANITE COUNTERTOP EACH 3/4"" THK x 48"" x 96"" CB 12345678 / 9012345678.",Hong Kong
WXYZ4321097,ON 10 PALLETS CONTAINING BBL ALUMINIUM FOLDING TABLES NET WEIGHT 8500 KG CIF MEXICO CITY.,"Tokyo, Japan"
IJKL6543210,9876 KGS 23.141 CUBIC METER 210 CARTON WOODEN CHAIRS HS CODES 940331. SHIPPER DECLARES.,"Bangkok, Thailand"
ZYXW7654321,IN 30 PALLETS OF FURNITURE AND DECORATIVE ITEMS CONTAINING FLAMMABLE MATERIALS.,"Kuala Lumpur, Malaysia"
CDMN0987654,LOADED ON 18 PLT(S) PRE-CUT CARPET HS-CODE39151010.,"Istanbul, Turkey"
PQRS1234567,"GRANITE SINK EACH 25"" x 19"" x 8"" CB 987654321 / 0987654321.","Dubai, UAE"
LKJH8765432,ON 12 PALLETS CONTAINING BBL PAINTS & VARNISHES NET WEIGHT 4000 KG CIF PANAMA CITY.,"Moscow, Russia"
WERTY5678901,23456 KGS 15.321 CUBIC METER 900 CARTON PENS & STAPLERS HS CODES 391510. SHIPPER DECLARES.,"Shenzhen, China"
QWERTY3456789,IN 50 PALLETS OF MACHINERY PARTS CONTAINING HEAVY METAL. ,"Hamburg, Germany"
UIOPAS1234567,LOADED ON 10 PLT(S) FIBERGLASS SHEETING HS-CODE39099011.,"Shenzhen, China"
MNOKP7890123,GRAND PRIX ROAST COFFEE EACH 500G BAG CB 4160410 / 278214357.,"Hamburg, Germany"
JKLHI4567890,ON 12 PALLETS CONTAINING FABRIC 50M X 100CM ANCHO 150 MM SIN IMPRESION NET WEIGHT 8762 KG CIF MEXICO.,"Shenzhen, China"
ZXCVB8765431,IN 30 PALLETS OF FOOD AND BEVERAGES CONTAINING DAIRY PRODUCTS.,"Hamburg, Germany"
KJHGF2345678,LOADED ON 25 PLT(S) CABLE TIES HS-CODE40169390.,"Shenzhen, China"
WERTY3456789,GRANOLA BARS EACH 80G UNIT CB 4160410 / 278214357.,"Hamburg, Germany"
QWERTAS1234567,ON 5 PALLETS CONTAINING TOYS AND HOBBY GOODS ANCHO 20 MM SIN IMPRESION NET WEIGHT 1200 KG CIF MEXICO.,"Shenzhen, China"
UIOPSD0987654,IN 25 PALLETS OF TOOLS AND EQUIPMENT CONTAINING POWER TOOLS.,"Hamburg, Germany"
MNOP8765432,15423 KGS 74.211 CUBIC METER 450 CARTON PLATES & CUTLERY HS CODES 691900. SHIPPER DECLARES.,"Guangzhou, China"
QWERT5678901,CONTAINING 20 PALLETS OF PHARMACEUTICAL PRODUCTS WITH HAZMAT REGULATIONS APPLIED.,"Mumbai, India"
IJKLM6789012,LOADED ON 10 PLT(S) POLYETHYLENE SHEETING (0.25 MM THICK) HS-CODE 39239090.,Singapore
PQRST3456789,IN 30 PALLETS OF FURNITURE PARTS CONTAINING WOOD PACKAGING MATERIALS WITH COMPLIANCE TO ISPM-15.,"Shanghai, China"
ASDFGH5678901,21000 KGS 98.765 CUBIC METER 1000 CARTON FOOD PROCESSING EQUIPMENT HS CODES 84281010.,Hong Kong
ZXCVBN1234567,CONTAINING 25 PALLETS OF TEXTILE PRODUCTS WITH COMPLIANCE TO TSCA REGULATIONS.,"Tokyo, Japan"
KJHGF5432109,GRANOLA BARS 50 GMS PACK EACH 40/15CL CONTAINING GLUTEN FREE AND NUTS-FREE PRODUCTS CB 4160410 / 278214357.,"Hamburg, Germany"
MNOP78901234,LOADED ON 12 PLT(S) HDPE CHEMICAL CONTAINERS (500 LITERS EACH) HS-CODE 39239090.,"Rotterdam, Netherlands"
IJKLM98765432,IN 45 PALLETS OF MACHINERY PARTS WITH COMPLIANCE TO ISPM-15 REGULATIONS.,"Shenzhen, China"
ZYXC56789012,CONTAINING 18 PALLETS OF AGRICULTURAL PRODUCTS WITH PHARMACOVIGILANCE REQUIREMENTS.,"Istanbul, Turkey"
MNBV9876543,14563 KGS 75.621 CUBIC METER 421 CARTON SPARE PARTS FOR ELECTRONICS HS CODES 84733020. SHIPPER DECLARES.,"Seoul, South Korea"
PQLK1234567,IN 30 PALLETS OF FURNITURE AND HOME DECOR CONTAINING LIGHTER FLAMMABLE MATERIALS. ,"Shanghai, China"
XCVB7654321,LOADED ON 25 PLT(S) PVC PIPE HS-CODE39173100.,Singapore
QWERT1234567,GRAPPA DEL MONTECARLO (GRAPPA) ITALY PER FARE 12/37.5CL BOTTLES CB 3213410 / 277211111.,"Milan, Italy"
LKJH7890123,ON 6 PALLETS CONTAINING 48 PACKS OF TISSUE HS CODE 48181900 NET WEIGHT 1800 KG CIF SHANGHAI.,"Shenzhen, China"
ZXCVD9876541,IN 50 PALLETS OF TEXTILE AND TEXTILE PRODUCTS CONTAINING TOXIC SUBSTANCES.,"Dhaka, Bangladesh"
NMBC7890123,LOADED ON 18 PLT(S) CABLES HS-CODE85441010.,Hong Kong
HGFJ6543219,GRAPPA DEL MONTECARLO (GRAPPA) ITALY PER FARE 24/37.5CL BOTTLES CB 3213410 / 277211111.,"Rome, Italy"
PNBV6543210,ON 12 PALLETS CONTAINING PACKAGING MATERIALS NET WEIGHT 10800 KG CIF LOS ANGELES.,"Los Angeles, USA"
MNOPQ1234567,IN 40 PALLETS OF MACHINERY AND MECHANICAL APPLIANCES CONTAINING PRESSURIZED GAS. ,"Istanbul, Turkey"
PQRS8765432,98765 KGS 21.321 CUBIC METER 150 CARTON PENS & PENCILS HS CODES 392510. SHIPPER DECLARES.,"Guangzhou, China"
MNOP1111222,IN 50 PALLETS OF CLOTHING CONTAINING USED GOODS. ,"Seoul, South Korea"
VWXZ4444555,LOADED ON 15 PLT(S) POLYETHYLENE FILM HS-CODE39231010. ,Hong Kong
KLMN7778888,GRIMBERGEN AMBREE 5.0% ABV. BEER EACH 24/33CL BOTTLES CB 4160410 / 278214357.,"Rotterdam, Netherlands"
STUV5556666,"ON 7 PALLETS CONTAINING MACHINERY PARTS, ANVIL & SPROCKET HS CODES 870890. NET WEIGHT 13500 KG CIF PANAMA.","Busan, South Korea"
FGHJ9990000,IN 30 PALLETS OF BUILDING MATERIALS (STEEL BEAMS) HS CODES 73089010. ,"Shanghai, China"
TYUI6667777,LOADED ON 12 PLT(S) POLYESTER FABRIC HS-CODE52051110.,"Kaohsiung, Taiwan"
CDEFG8889999,GRIMBERGEN AMBREE 7.5% ABV. BEER EACH 24/33CL BOTTLES CB 4160410 / 278214357.,"Hamburg, Germany"
MNBVC4445555,ON 10 PALLETS CONTAINING TEXTILES (CLOTHING) HS CODES 63090990. NET WEIGHT 12000 KG CIF HONG KONG.,"Shenzhen, China"
PQRS1111222,IN 25 PALLETS OF ELECTRONIC EQUIPMENT (MONITORS) HS CODES 85281290. ,"Taipei, Taiwan"
VWXK9876543,IN 50 PALLETS OF FURNITURE PARTS CONTAINING HEAVY ITEMS. ,"Tokyo, Japan"
LKJH1234567,LOADED ON 25 PLT(S) BULK CONCRETE MIX HS-CODE 25051010. ,"Seoul, South Korea"
MNOP4321098,EACH CONTAINER CONTAINING (1200 PCS) OF FOLDABLE TRUCKS & PARTS WITH NET WEIGHT 9000 KG CIF SINGAPORE. ,"Shanghai, China"
QWERTYUIOP123,ON 7 PALLETS CONTAINING 5 KGS BAG OF TEA HS-CODE 0901.10.00 SHIPPER DECLARES. ,"Mumbai, India"
ZXC9876543210,"EACH PALLET WEIGHING 3,000 KG CONTAINING AGRICULTURAL EQUIPMENT HS-CODE 8705.20.0014. ","Sydney, Australia"
IJHGFEDC1234567,"IN 35 PALLETS OF FURNITURE PARTS CONTAINING LIGHT ITEMS WITH NET WEIGHT 12,000 KG CIF HOUSTON. ","Paris, France"
KLMNOP4321098,"LOADED ON 10 PLT(S) EACH CONTAINER WEIGHING 2,500 KG CONTAINING AGRICULTURAL MACHINERY HS-CODE 8433.40.0007. ","Amsterdam, Netherlands"
VWXK1234567890,"IN 20 PALLETS OF TEXTILE MATERIALS WITH NET WEIGHT 5,500 KG CIF LOS ANGELES. ","Moscow, Russia"
ZYXC9876543210,"ON 15 PALLETS CONTAINING FURNITURE PARTS HS-CODE 9403.90.0001 WITH NET WEIGHT 10,500 KG CIF HOUSTON. ","London, UK"
IJHGFEDC987654321,"LOADED ON 30 PLT(S) EACH CONTAINER WEIGHING 8,000 KG CONTAINING AGRICULTURAL EQUIPMENT HS-CODE 8705.20.0014. ","Berlin, Germany"
VWBX9876543,IN 30 PALLETS OF ELECTRONIC COMPONENTS AND PARTS HS CODES 8537.00. SHIPPER DECLARES.,"Shenzhen, China"
QPRT5432156,LOADED ON 25 PLT(S) SYNTHETIC LUBRICANT WITH FIRE RESISTANT PROPERTIES. ,"Guangzhou, China"
HGFY1234678,IN 15 PALLETS OF CLOTHING AND ACCESSORIES CONTAINING DRY CLEANING SOLUTIONS. ,"Shenzhen, China"
LKJH5678912,LOADED ON 18 PLT(S) OF SOLVENTS FOR PAINTING HS-CODE32142010. ,"Shanghai, China"
MNBV9876541,GRIMBERGEN AMBREE 6.5% ABV. BEER EACH 24/33CL BOTTLES CB 4160410 / 278214357.,"Shenzhen, China"
JKLZ5432157,ON 8 PALLETS CONTAINING GLASSWARE AND TABLEWARE HS CODES 7013. ,"Guangzhou, China"
ZYXC9876541,IN 20 PALLETS OF SYNTHETIC FIBERS WITH FIRE RESISTANT PROPERTIES. ,"Shanghai, China"
VWBX1234567,LOADED ON 22 PLT(S) ELASTOSIL 5000BLACK S1 HS-CODE32141010. ,"Shenzhen, China"
QPRT9876543,ON 10 PALLETS CONTAINING PLASTIC AND RECYCLABLE MATERIALS HS CODES 3926.10. ,"Guangzhou, China"
HGFY5678912,IN 12 PALLETS OF FURNITURE COMPONENTS AND PARTS HS CODES 9401.20. SHIPPER DECLARES. ,"Shanghai, China"
MNOP9876543,13456 KGS 25.625 CUBIC METER 111 CARTON FURNITURE & HOME DECOR HS CODES 940300. SHIPPER DECLARES.,"Shenzhen, China"
QWERT1234567,IN 30 PALLETS OF FOOD AND BEVERAGE CONTAINING PERISHABLE GOODS. ,"Tokyo, Japan"
UIOP7654321,LOADED ON 18 PLT(S) POLYETHYLENE FILM HS-CODE39239090. ,"Seoul, South Korea"
VWXZY1234567,GRIMBERGEN AMBREE 6.5% ABV. BEER EACH 24/33CL BOTTLES CB 4160410 / 278214357.,"Hamburg, Germany"
RSTUV9876543,ON 8 PALLETS CONTAINING WOODEN CRATES WITH 1200 PCS OF FURNITURE HS CODES 94039110.,Hong Kong
HGFED1234567,IN 25 PALLETS OF ELECTRONIC COMPONENTS CONTAINING RADIO FREQUENCY (RF) ITEMS HS-CODE85181080.,"Shenzhen, China"
CDEFG4321098,LOADED ON 12 PLT(S) HIGH-PRESSURE HYDRAULIC FLUID HS-CODE38089000.,"Seoul, South Korea"
PQRST9876543,GRANOTURCO 2016 RED WINE EACH 750ML BOTTLES CB 4160610 / 278214358.,"Barcelona, Spain"
EFGHI7654321,ON 15 PALLETS CONTAINING FLEXIBLE TUBES WITH INNER DIAMETER 25 MM HS CODES 39231000.,"Shenzhen, China"
JKLPO1234567,IN 22 PALLETS OF COSMETICS AND SKIN CARE PRODUCTS CONTAINING TOXIC SUBSTANCES HS-CODE33079090.,"Paris, France"
VWXY1234567,23456 KGS 11.111 CUBIC METER 500 CARTON FURNITURE WARES & PARTS HS CODES 940300. SHIPPER DECLARES.,"Shenzhen, China"
QWERT9876543,IN 30 PALLETS OF TEXTILES AND GARMENTS WITH MACHINERY CONTAINING HAZARDOUS MATERIALS. ,"Mumbai, India"
TRUCK1234567,LOADED ON 15 PLT(S) PHOTOCURABLE ADHESIVES 32141010. ,"Seoul, South Korea"
GOLDF1234567,PERISHABLE CARGO: FRESH FRUITS (APPLES) EACH 500KG BAG NET WEIGHT 22500 KG CIF NEW YORK.,"Santiago, Chile"
JKLW4321098,ON 12 PALLETS CONTAINING SODA ASH 133/14 ANCHO 50 MM BBL SODA ASH 133/3 SIN IMPRESION NET WEIGHT 7680 KG CIF MEXICO. ,"Hamburg, Germany"
ZYXC8765432,98765 KGS 1.111 CUBIC METER 300 CARTON TOOLS & EQUIPMENT HS CODES 820710. SHIPPER DECLARES.,"Shenzhen, China"
ABCDF4321098,IN 25 PALLETS OF LEATHER GOODS AND FURS WITH DANGEROUS GOODS. ,"Istanbul, Turkey"
KJHUI9876543,LOADED ON 10 PLT(S) VACUUM SEALING FILM HS-CODE32141000. ,"Tokyo, Japan"
VWXY6543210,GRIMBERGEN AMBREE 6.5% ABV. BEER EACH 24/33CL BOTTLES CB 4160411 / 278214358. ,"Berlin, Germany"
QAZWS1234567,"ON 8 PALLETS CONTAINING ALUTHENE 50-IV E 133/13 SIN IMPRESION, ANCHO 56 MM BBL ALUTHENE 50-IV E 133/6 ANCHO 90 MM SIN IMPRESION NET WEIGHT 4480 KG CIF GUATEMALA. ","Hamburg, Germany"
PQRS9876543,13456 KGS 75.432 CUBIC METER 421 CARTON SOLAR PANELS & INVERTERS HS CODES 85414010. SHIPPER DECLARES. ,"Shenzhen, China"
VWXZ1234567,100 PALLETS OF FURNITURE AND DECORATIONS CONTAINING LIGHTER GOODS. ,"Guangzhou, China"
MNOP9876543,LOADED ON 15 PLT(S) POLYETHYLENE FILM HS-CODE39174010. ,"Shanghai, China"
KILHGF1234567,GRIMBERGEN AMBREE 6.5% ABV. BEER EACH 24/33CL BOTTLES CB 4160410 / 278214357. ,"Hamburg, Germany"
UVWQ4321098,"ON 12 PALLETS CONTAINING PVC PIPES E 150-1 SIN IMPRESION, DIAM 32 MM BVC PIPES E 150-5 ANCHO 38 MM SIN IMPRESION NET WEIGHT 6723 KG CIF VENTURA. ","Hamburg, Germany"
